"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","download colornote app and test the application.: Add new notes in colornote","","0","0","4","2","0"
"","download colornote app and test the application.: Add new notes in colornote","Color Note plus icon - JIRA 1","0","2","1","0","0"
"","Verify plus icon is working","Color Note plus icon - JIRA 1","0","2","1","0","0"
"","Finding and doing actions on elements directly on particular page android native feature test: Scroll and Picking the date","","0","1","5","0","0"
"","Finding and doing actions on elements directly on particular page android native feature test: select directly App Alert Dialouge box and do operation","","0","0","8","0","0"
